Date,Time,CrashCiudad,CrashPais,Operator,Flight #,OrigenCiudad,DestinoCiudad,Type,Registration,Cn_ln,Aboard,Fatalities,Ground,CrashLatitud,CrashLongitud,DestinoLatitud,DestinoLongitud,OrigenLatitud,OrigenLongitud,Summary
3/18/1939,, Adler, Washington,Boeing Aircraft Company,-,Bombay,Benghazi,Boeing 307 Stratoliner,NX19901,1994,10,10,0,475.067.342,7.697.178,32.117.076,200.670.036,189.523.804,728.327.112,
6/28/1962,, Adler, Russia,Aeroflot,,Marseille,Dubai,Antonov AN-10A,CCCP11186,,81,81,0,475.067.342,7.697.178,252.683.521,552.961.962,432.961.743,53.699.525,
02/10/1972,18:00, Adler, Russia,Aeroflot,,Jeddah,Dubai,Ilyushin IL-18B,CCCP-75507,183006405,109,109,0,475.067.342,7.697.178,252.683.521,552.961.962,215.822.247,391.640.396,
09/09/1976,14:50, Adler, Russia,Aeroflot / Aeroflot,7957 /31,Colombo,Balad,Antonov AN-24 / Yakovlev Yak-40,46518/87772,37308504 / 9030713,90,90,0,NaN, NaN,-67.627.962,1.084.244.091,6.934.287,798.532.704,
8/21/1994,, Agadir, Morocco,Royal Air Maroc,630,Beirut,San Francisco,Aerospatiale ATR-42-300,CN-CDT,127,44,44,0,304.218.772,-95.850.476,377.792.768,-1.224.192.704,NaN, NaN,
07/02/2003,, Agadir, Morocco,Volare Aviation Enterprise,,Bagdad,Nellis AFB,Antonov 12BP,UR-LIP,9346405,8,8,0,304.218.772,-95.850.476,362.435.046,-115.052.887.047.181,333.024.248,443.787.992,
2/22/1980,, Agra, India,Military - Indian Air Force,,Miami,Rurrenabaque,Fairchild C-119G,,,47,46,1,2.702.317.485,780.925.527,-144.438.045,-675.310.519,257.742.658,-801.936.589,Crashed while landing.
08/02/1979,, Agudos, Brazil,TAM Lineas AÇ¸reas Regional,,Kirkland AFB,Thorney Island,Embraer 110C Bandeirante,PP-SBB,100-010,18,18,0,-22.471.162,-48.987.822,526.204.386,-0.1071723,NaN, NaN,
10/19/1988,07:00, Ahmedabad, India,Indian Airlines,113,Caranavi,San Antonio,Boeing B-737-2A8,VT-EAH,20481/271,129,124,0,230.216.238,725.797.068,294.246.002,-984.951.405,NaN, NaN,
1/21/1936,, Ajaccio, France,Air France,,Bovingdon AF,Alexandria,CAMS 53,F-AJIR,19,6,6,0,419.263.991,87.376.029,311.990.035,298.943.785,NaN, NaN,
02/12/1977,, Al Bayda, Lebanon,Balkan Bulgarian Airlines,,Training exercise,Faro,Tupolev TU-154B,LZ-BTN,54,165,59,0,303.797.403,354.657.495,618.489.975,-691.612.291.886.872,NaN, NaN,
3/14/1972,22:00, Al Fujayrah, United Arab Emirates,Sterling Airways,296,Camp Springs,Menorca,Aerospatiale Caravelle Super 10B,OY-STL,267,112,112,0,23.28,57.97,3.994.918.695,405.295.155.687.162,NaN, NaN,
01/01/1976,05:30, Al Qaysumah, Saudi Arabia,Middle East Airlines,438,Mirabella,Pittsburgh,Boeing B-720B-023B,OD-AFT,18020/165,82,82,0,28.309.722,461.275,404.416.941,-799.900.861,4.568.767,115.659.211,
1/30/2005,16:30, Al Taji, Iraq,Military - Royal Air Force,,Amsterdam,Alliford,Lockheed Hercules C.1,XV179,4195,10,10,0,386.281.733,708.156.541,532.092.942,-1.319.857.948,52.374.436,48.979.956.033.677,
06/05/1951,12:30, Albuquerque, New Mexico,Military - U.S. Air Force,,Algiers,Alma Ata,Convair B-36D,49-2660,,25,23,0,350.841.034,-1.066.509.851,432.362.314,769.457.599,280.000.272,29.999.825,
03/11/1973,16:40, Albuquerque,  New Mexico,National Airlines,27,Chicago,Ata,McDonnell Douglas DC-10-10,N60NA,46700/14,128,1,0,350.841.034,-1.066.509.851,459.368.992,18.297.316,418.755.546,-876.244.212,
9/14/1977,23:48, Albuquerque, New Mexico,Military - U.S. Air Force,,Tasu,Altamira,Boeing - EC-135K,62-3536,,20,20,0,350.841.034,-1.066.509.851,433.768.445,-41.197.476,1.003.333,36.5,
10/09/1962,, Alcoche, Bolivia,Aerolineas Abaroa,,Novosibirsk,Rome,Douglas C-47A,CP-710,20230,4,4,0,-164.782.971,-681.197.336,418.933.439,124.830.718,550.282.215,829.234.476,
8/26/1993,, Aldan, Russia,Sakha Airlines,,Kazan,Managua,Let 410UVP-E,RA-67656,902509,24,24,0,399.215.014,-752.879.632,121.461.244,-86.273.717,402.049.092,326.827.398,Crashed into a tree on take off in fog.
06/01/1954,17:20, Aldbury, England,Military -Royal Air Force,,Belem,Iwakuni,Vickers Valetta,WJ474,599,17,16,0,518.022.069,-0.6015429,341.484.223,1.322.005.462,31.710.799,351.988.002,
08/03/1962,17:30, Alencon, France,Military - U.S. Air Force,,Cairo,Kodiak NAS,Lockheed C-130A Hercules,55-0020,3047,15,15,0,484.312.059,0.0911374,NaN, NaN,300.488.185,312.436.663,
2/24/1956,, Aleppo, Syria,Syrian Airways,,Veracruz,Eielson,Douglas DC-3,YK-AAE,14918/2636,19,19,0,36.197.971,371.656.697,646.755.195,-147.057.196.141.924,19.333.333,-96.666.667,
4/17/1995,18:30, Alexander City, Alabama,Military - U.S. Air Force,,Hong Kong,Ankara,Learjet C-21A,84-0136,35-583,8,8,0,32.944.012,-859.538.532,NaN, NaN,222.793.278,1.141.628.131,
12/31/1935,17:20, Alexandria, Egypt,Imperial Airways,,Elemndorf AFB,Istanbul,Short Calcutta,G-AASJ,S-752,13,12,0,NaN, NaN,410.096.334,289.651.646,NaN, NaN,
05/11/1978,, Alexandria, Egypt,Nile Delta Air Services,,Shemya,Annobon Island,Douglas DC-3,SU-AZM,,18,18,0,311.990.035,298.943.785,-14.349.999,563.716.626.300.488,527.227.465,174.099.516.200.535,
12/21/1992,07:53, Algarve, Portugal,Martinair Holland NV,495,Istanbul,Antananivo,McDonnell Douglas DC-10-30CF,PH-MBN,46924,340,56,0,372.454.629,-815.092.783.478.925,NaN, NaN,410.096.334,289.651.646,
09/12/1931,, Algiers,,Aeropostale,,Ankara,Miami,CAMS 56,F-AIOX,,2,2,0,280.000.272,29.999.825,257.742.658,-801.936.589,399.220.794,32.853.758,
12/31/1970,, Algiers, Algeria,Rousseau Aviaiton,,Bata,Manilla,Nord 262E,F-BNGB,2,31,31,0,280.000.272,29.999.825,145.906.216,1.209.799.696,460.170.337,220.372.925,
08/09/1994,19:03, Aliquippa, Pennsylvania,USAir,427,Maintirano,Foggia,Boeing B-737-3B7,N513AU,23699/1452,132,132,0,406.102.386,-80.267.726,414.626.384,155.460.328,-180.603.619,440.259.057,Crashed while making an approach to Le Bourget Airport in Paris.
8/18/1996,19:50, Alliford Bay, Canada2,Harbour Air,,Antilla,Ardmore,de Havilland Canada DHC-3 Turbo Otter,C-GCMY,32,3,3,0,532.092.942,-1.319.857.948,40.004.128,-752.883.005.101.266,-136.456.069,-725.728.182,
01/13/1977,18:15, Alma Ata,  Kazakastan,Aeroflot,3843,Mactan,Argentia,Tupolev TU-104A,CCCP-42369,86601203,96,96,0,432.362.314,769.457.599,472.902.236,-539.916.823,102.999.079,1.240.000.354,
8/30/1983,23:17, Alma-Ata, Kazakastan,Aeroflot,,Rome,Arica,Tupolev TU-134A,CCCP-65129,60630,90,90,0,432.362.314,769.457.599,-184.784.237,-703.211.626,418.933.439,124.830.718,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.
06/03/1987,19:10, Almaty, Kazakhstan,Aeroflot,,Monterey,Montevideo,Antonov An-26,CCCP-26007,9901,9,9,0,432.362.314,769.457.599,-349.059.039,-561.913.569,36.583.431,-1.218.540.929,
9/26/1976,, Alpena, Michigan,Military - U.S. Air Force,,Azores,Addis Ababa,Boeing KC-135A,61-0296,18203/518,20,15,0,450.616.794,-834.327.528,NaN, NaN,387.434.706,-283.616.403.758.596,Crashed at Le Bourget field.
06/06/1990,05:29, Altamira, Brazil,TABA,,Santa Cruz,Aspen,Fairchild FH-227B,PT-ICA,570,42,23,0,433.768.445,-41.197.476,391.911.128,-1.068.235.606,369.746.099,-1.220.294.259,
01/06/1946,07:40, Amalfi, Italy,Military - U.S. Army Air Forces,,Artigas,Asuncion,Douglas C-54-DO (DC-4),44-9078,27304,38,30,0,40.634.808,14.604.141,-252.960.638,-576.311.446,-306.170.756,-569.373.451,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
03/08/1975,19:30, Amapala, Honduras,Military - Nicaraguan Air Force,,Asrmara,Aswan,Douglas DC-47,412,,20,20,0,132.933.499,-876.543.825,240.910.711,328.973.065,NaN, NaN,
7/26/1983,, Ambone, Indonesia,Bali International Air Service,,Los Angeles,Karachi,Cessna 404 Titan,PK-KCA,404-0006,11,7,0,420.162.191,128.739.954,248.667.795,670.311.286,34.053.717,-1.182.427.266,
4/26/1972,, An Loc, Vietnam,Military - U.S. Air Force,,Sao Paulo,Kano,Lockheed C-130E Hercules,64-0508,3992,6,6,0,116.532.458,1.066.099.206,119.918.671,85.303.654,-235.476.397,-46.637.365,
6/13/1972,, an Loc, South Vietnam,Military - Vietnamese Air Force,,Jeddah,Athens,Boeing Vertol CH-47 (helicopter),,,47,47,0,116.532.458,1.066.099.206,339.595.974,-83.376.678,215.822.247,391.640.396,A midair collision occurred in poor visibility approximately 18 miles north of Beauvais  France. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland  five on the Faman F-60.
1/28/1951,08:40, An tung, Taiwan,Military -Royal Air Force,,Jeddah,Athens,Short Sunderland 9 (flying boat),PP107,,16,16,0,-199.160.819,-1.752.026.424,339.595.974,-83.376.678,215.822.247,391.640.396,
11/15/1952,, Anchorage, Alaska,Military - U.S. Air Force,,Tripoli,Japan,Fairchild C-119C,51-2570,10528,20,20,0,61.218.056,-1.499.002.806,365.748.441,1.392.394.179,32.896.672,131.777.923,
11/13/1969,, Anderma, Russia,Aeroflot,,Kerkira,Catalina,Antonov An-12TB,CCCP-11376,402406,9,9,0,35.058.098,-118.522.119.662.202,NaN, NaN,517.774.809,194.228.446,All seventeen aboard were Chinese nationals.
05/06/1969,, Andreanof Islands, Alaska,Military - U.S. Air Force,,Rome,Ayan,Boeing RC-135E,62-4137,18477,19,19,0,NaN, NaN,124.048.173,100.830.045.205.032,418.933.439,124.830.718,
03/02/1964,, Ankara, Turkey,Turkish Airlines (THY),,Philippines,Alexandria,Douglas C-47A,TC-ETI,12319,3,3,0,399.220.794,32.853.758,311.990.035,298.943.785,127.503.486,1.227.312.101,
1/25/2000,18:09, Ankara, Turkey,Top Air - Air Taxi,,San Pedro,Bermuda,Beechcraft King Air C90,,,4,4,0,399.220.794,32.853.758,323.018.217,-647.603.583,337.358.518,-1.182.922.934,
4/16/2008,14:23, Annobon Island, Equatorial Guinea,Military - Government of Equatorial Guinea,,Khabarovsk,Praira da Vitoria,Antonov An-32B,3C-5GE,1609,13,13,0,-14.349.999,563.716.626.300.488,NaN, NaN,48.481.402,13.507.694,
7/18/1995,, Antananivo, Madagascar,Military - Madagascar Air Force,,Cairo,Santa Maria,Douglas C-47A,5R-MMG,19525,34,34,0,NaN, NaN,NaN, NaN,300.488.185,312.436.663,
08/08/1944,13:20, Antilla, Cuba,Pan American World Airways,218,Lajes,Comodoro,Sikorsky S-42 (flying boat),NC823M,4201,31,17,0,-136.456.069,-725.728.182,-136.581.107,-59.786.883,387.669.312,-271.031.772,
12/09/1969,, Antipolo, Philippines,Philippine Air Lines,158,Caracas,Farah,BAC One-Eleven 402AP,PI-C1131,92,47,45,0,NaN, NaN,32.607.111,62.671.011,10.506.098,-669.146.017,
4/16/1972,22:10, Ardinello di Amaseno,,Aero Transporti Italiani,,Bergamo,Baguio,Fokker F-27 Friendship 200,I-ATIP,10251,18,18,0,NaN, NaN,16.412.007,1.205.933.937,456.945.115,9.669.839,
4/22/1966,20:30, Ardmore, Oklahoma,American Flyers Airline,280D,Buenos Aires,Clark AB,Lockheed 188C Electra,N183H,1136,98,83,0,NaN, NaN,567.182.817,-111.368.417.457.705,-34.612.869,-584.459.789,
1/26/1961,, Argentia, Azores,Military - U.S. Air Force,,Bagram,Debra Marcos,Douglas C-118A,51-17626,43670,23,23,0,37.038.172,-735.270.341,33.136.253,-1.172.047.419,NaN, NaN,
11/17/1964,, Argentia, Canada,Military - U.S. Navy,,Manila,Paris,Lockheed P-3A,151362,185-5075,10,10,0,37.038.172,-735.270.341,NaN, NaN,145.906.216,1.209.799.696,
11/11/1953,17:30, Argyll, England,Military - Royal Air Force,,Naha AB,Paris,Avro Shackleton MR-2,WL746,,10,10,0,-232.593.078,1.474.810.108,NaN, NaN,NaN, NaN,Crashed while on a flight from Toulon  France to Algiers  Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.
07/06/1993,, Ariab, Sudan,Sasco Air Lines,,Bahar Dar,Balad Air Base,Cessna 404 Titan,ST-AID,404-0456,11,11,0,NaN, NaN,NaN, NaN,1.141.667,37.25,
6/17/1971,14:30, Arica, Chile,SAVCO,,Saigon,Brussel,Douglas DC-6,CP-926,43043/83,6,6,0,-184.784.237,-703.211.626,5.084.404.145,436.720.169.448.285,107.758.439,1.067.017.555,
10/02/1978,11:20, Artigas, Uruguay,Military - Uruguayan Air Force,,Saigon,Da Nang,Douglas C-47A-DL,T511,19301,44,44,0,-306.170.756,-569.373.451,160.679.814,1.082.119.396,107.758.439,1.067.017.555,
11/19/1990,, Ashkhabad, Turkmenistan,Aeroflot,,Adana,Wien,Mil Mi-8T,CCCP-22389,,15,15,0,379.396.678,583.874.263,482.083.537,163.725.042,370.033.484,353.263.252,
01/13/1987,13:30, Asmara, Ethiopia,Military - Ethiopian Air Force,,Bucharest,Bombay,Antonov AN-12,,,54,54,0,153.389.974,389.326.725,189.523.804,728.327.112,44.436.139,261.027.436,
3/29/2001,19:01, Aspen, Colorado,Jetwingsco Inc. - Private Charter,-,Saigon,Dubai,Grummand Gulfstream III,N303GA,303,18,18,0,391.911.128,-1.068.235.606,252.683.521,552.961.962,107.758.439,1.067.017.555,
6/16/1955,01:15, Asuncion, Paraguay,Panair do Brasil,,Bangkok,Bangalore,Lockheed 049-46-21 Constellation,PP-PDJ,2032,24,16,0,-252.960.638,-576.311.446,NaN, NaN,135.859.219,100.416.086.601.645,
8/27/1959,, Asuncion, Paraguay,Aerolineas Argentinas,,Bangkok,Bangkok,de Havilland DH-106 Comet 4,LV-AHP,6411,50,2,0,-252.960.638,-576.311.446,135.859.219,100.416.086.601.645,135.859.219,100.416.086.601.645,Shortly after taking off  witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing.
10/18/1963,, Aswan, Egypt,Military - Soviet Air Force,,Bombay,Bangkok,Antonov AN-12,,,31,31,0,240.910.711,328.973.065,135.859.219,100.416.086.601.645,189.523.804,728.327.112,
3/20/1969,02:00, Aswan, Egypt,United Arab Airlines,,Bombay,London,Ilyushin IL-18D,SU-APC,188011301,105,100,0,240.910.711,328.973.065,515.073.219,-0.1276474,189.523.804,728.327.112,The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height  then falling and rising again  her hull structure was overstressed amidships  breaking the airship in two. Shenandoah's external control car and two engine cars fell free  carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby  while several men were able to fly the bow section to ground as a free balloon.
11/26/1979,02:03, At Ta'if, Saudi Arabia,Pakistan International Airlines,740,Hong Kong,Hong Kong,Boeing B-707-340C,AP-AWZ,20275/844,156,156,0,21.270.278,40.415.833,NaN, NaN,222.793.278,1.141.628.131,
5/26/1952,08:45, Atar, Mauritania,British Overseas Airways,251,Cairo,Amsterdam,Handley Page HP-81 Hermes IV,G-ALDN,HP-81/15,18,1,0,NaN, NaN,52.374.436,48.979.956.033.677,300.488.185,312.436.663,
10/21/1972,09:00, Athens, Greece,OlympiAirways,,Barcelona,San Carlos de Bariloche,NAMC YS-11A-202,SX-BBQ,2155,53,37,0,339.595.974,-83.376.678,-411.334.672,-713.099.936,413.825.596,21.771.353,
02/04/1986,, Athens, Greece,Trans World Airlines,840,Paris,San Carlos de Bariloche,Boeing B-727,N54340,20845/1066,121,4,0,339.595.974,-83.376.678,-411.334.672,-713.099.936,488.565.056,23.521.334,Crashed in poor weather.
4/21/1950,23:25, Atsugi, Japan,Military - U.S. Air Force,,Batavia,Wainwright,Douglas C-54D,42-72704,,35,35,0,354.603.975,139.317.505.504.304,528.374.281,-1.108.612.063,418.500.284,-883.125.738,
8/18/1987,, Auturn, France,Oxaero Ltd.,,Buenos  Aires,Malabo,Piper PA-31-350 Navajo,G-BGEO,31-7405489,7,4,0,41.519.556,-878.170.998,NaN, NaN,-34.612.869,-584.459.789,
4/14/1979,, Avalon, California,Catalina Airlines,,El Palomar AB,Batagay,Grumman G-21 Goose,N11CS,1166,11,1,0,474.832.017,39.142.899,676.549.095,1.346.350.713,NaN, NaN,
05/05/1991,, Awell, Sudan,Nile Safaris Aviation,,Skydiving,Baucau,Cessna 404 Titan II,ST-AHX,404-0657,8,8,0,NaN, NaN,-84.650.462,1.264.585.621,5.204.191,-0.747056,
8/29/2002,11:58, Ayan, Russia,Vostok Aviakompania,,Barrow,Batumi,Antonov AN-28,RA-28932,1A-J008-19,16,16,0,124.048.173,100.830.045.205.032,416.509.502,416.360.085,339.848.611,-836.996.482,
12/05/1963,, Ayayda, Egypt,United Arab Airlines,,Bata,Kamchatskiy,Douglas DC-3,SU-AJX,,34,34,0,30.359.444,315.025,NaN, NaN,460.170.337,220.372.925,Crashed while en route.
6/16/1963,, Aysen, Chile,Military - Chilean Air Force,,Tikis,Cauayan,Douglas C-47A,FAC-953,19461,20,19,0,-461.434.628,-743.648.595.315.914,998.578.105,122.492.665.129.916,428.308.185,800.507.393,
09/08/1954,00:08, Azores, Portugal,AVIANCA,,Darwin,El Paso,Lockheed 749A-79 Constellation,HK-163,2664,30,30,0,387.434.706,-283.616.403.758.596,318.111.305,-106.501.349.295.577,-1.246.044,1.308.410.469,Weather related.
03/09/1976,21:45, Azores, Portugal,Military - Venezuelan Air Force,,Moscow,Karachi,Lockheed C-130H,7772,4408,68,68,0,387.434.706,-283.616.403.758.596,248.667.795,670.311.286,557.516.335,376.187.042,
08/02/1989,14:08, Azores, Portugal,Independent Air Inc.,1851,Etropavlovsk,Saint Martten,Boeing B-707-331B,N7231T,19572/687,144,144,0,387.434.706,-283.616.403.758.596,NaN, NaN,NaN, NaN,Weather related.
7/19/1961,08:00, Azul, Argentina,Aerolineas Argentinas,,Manila,Beirut,Douglas DC-6,LV-ADW,43136,67,67,0,72.632.869,-727.060.341,338.959.203,3.547.843,145.906.216,1.209.799.696,Crashed in adverse weather conditions.  Engine failure.
9/22/1981,12:00, Babaeski, Turkey,Military - Turkish Air Force,,Los Angeles,Cayenne,Northrop F-5A,,,0,0,40,414.299.402,270.907.241,NaN, NaN,34.053.717,-1.182.427.266,
1/20/2007,, Baghdad, Iraq,Military - US Army,,Cardington,La Paz,Sikorsky UH-60L Black Hawk,,,12,12,0,333.024.248,443.787.992,-16.495.647,-68.133.542,521.179.428,-0.4137868,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.
9/21/1989,, Baghran, Afghanistan,Military - Afghan Republican Air Force,,San Juan,Port au prince,Mil Mi-17 ( helicopter),,,24,24,0,NaN, NaN,18.547.327,-723.395.928,1.838.423.905,-660.534.398.736.473,The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta  piloted by Captain Marshall  to rescue all aboard. The plane was named Prince Henry.
11/27/2004,11:20, Bagram, Afghanstan,Presidental Airways Inc. - Air Taxi,-,Budapest,Saigon,CASA 212-CC,N960BW,231,6,6,0,349.338.484,692.343.811.242.707,NaN, NaN,NaN, NaN,
12/19/1950,07:30, Baguio, Philippines,Military - U.S. Air Force,,Rio de Janerio,La Paz,Douglas C54E-DO (DC-4),44-9096,27322,38,38,0,16.412.007,1.205.933.937,-16.495.647,-68.133.542,NaN, NaN,
6/26/1987,11:03, Baguio, Philippines,Philippine Air Lines,,Training,Bentuni,Hawker Siddeley HS-748-209 Srs. 2,RP-C1015,1637,50,50,0,16.412.007,1.205.933.937,NaN, NaN,3.774.919.975,-12.239.968.795,
11/09/1975,, Bahar Dar, Ethiopia,Ethiopian Airlines,,Bella Vista,Stratjford,Douglas C-47-DL,ET-ABX,4292,9,1,0,1.141.667,37.25,NaN, NaN,-464.090.626,-676.828.551.727.567,
