Date,Time,cityAccidente,countryAccidente,Operator,cityOrigen,cityDestino,Type,Aboard,Fatalities,Ground,latAccidente,lonAccidente,latDestino,lonDestino,latOrigen,lonOrigen,Summary
3/15/05,0:15, Campbeltown, United Kingdom,Loganair,Quito,Hue,Pilatus-Britten Norman BN-2B-26 Islander,2,2,0,55.4282582,-5.6029617,47.1817585,19.5060937,-0.2201687,-78.5120913,Engine quit while taking off. The plane crashed from a height of 700 feet. The pilot tried to return to the airport  by banking to the right but did not have sufficient altitude to recover.
1/30/05,16:30, Al Taji, Iraq,Military - Royal Air Force,Amsterdam,Alliford,Lockheed Hercules C.1,10,10,0,38.6281733,70.8156541,53.2092942,-131.9857948,52.374436,4.897995603,
12/7/04,7:15, Beef Island, British Virgin Islands,Dodita Air Cargo,Bronson,Mendoza,Convair CV-440,2,1,0,46.1442852,-83.7990723,-32.8897294,-68.8442956,40.1150358,-87.8053049,Became lost in dense fog and flew into the ground in the Mohawk Valley while proceeding to Buffalo..
1/17/04,16:40,  Pelee Island, Ontario,Georgia Express,New York City,Buffalo,Cessna 208B Grand Caravan,10,10,0,41.8171158,-82.6457748,42.8864468,-78.8783689,40.7305991,-73.9865812,Crashed near the Black Sea  cause unknown.
9/1/03,8:43, Chachapoyas, Peru,TANS Airlines,Shannon,Rome,Fokker 28 Fellowship 1000,46,46,0,-6.3404357,-77.803158,41.8933439,12.4830718,37.1498052,-91.4328245,Crashed in a thickly wooded area upon taking off after the pilot became lost in fog.
7/2/03,, Agadir, Morocco,Volare Aviation Enterprise,Bagdad,Nellis AFB,Antonov 12BP,8,8,0,30.4218772,-9.5850476,36.2435046,-115.052887,33.3024248,44.3787992,
6/22/03,23:55, Brest, France,Brit Air,Dubai,Cozumel,Canadair CRJ-100ER,24,1,0,48.3905283,-4.4860088,20.4488829,-86.9121241,25.2683521,55.2961962,Crashed while the pilot attempted to make an  emergency landing in fog  during a storm.
1/3/03,14:25, Barki, Russia,Private - Kabanov - skydiving,Manaus,San Vicente del Caguan,Let L-410UVP,25,11,0,51.2538239,23.0920844,2.1133577,-74.7719119,-3.1328619,-59.9865291,
8/29/02,11:58, Ayan, Russia,Vostok Aviakompania,Barrow,Batumi,Antonov AN-28,16,16,0,12.4048173,10.08300452,41.6509502,41.6360085,33.9848611,-83.6996482,
7/16/02,19:45, Cromer, England,Bristow Helicopters,Larnaca,Bangkok,Sikorsky S-76A,11,11,0,52.9311367,1.3012758,13.5859219,100.4160866,34.9172012,33.6378531,The plane flew into a mountain 43 miles West of Glendo in heavy fog.  Against advice to the contrary  the pilot decided to fly a direct route to Denver rather than go around  following the valleys and airways used by other pilots. The direct route took him across some of the most dangerous flying country in the west.
7/5/02,21:32, Dalian, China,China Northern Airlines,Chengdu,Huntington,McDonnell Douglas MD-82,112,112,0,38.920716,121.6388678,38.4192496,-82.445154,30.6765553,104.0612783,Pilot error.
5/21/02,19:30, Calabar, Nigeria,Sky Executive Air Services,Corrientes,Cuenca,LET 410UVP,5,5,0,4.9795999,8.3373597,40.0681156,-2.1348241,-28.5912315,-57.9394658,Crashed from a height of 500 feet on the banks of Little Miami River shortly after taking off.  Engine failure due to a broken hub on the right engine which led to the detachment of the motor from the aircraft.
4/28/02,6:15, Abakan, Russia,Private,Lagos,Abuja,Mi-8 helicopter,20,8,0,53.7152883,91.4388763,9.0643305,7.4892974,20.0171109,103.378253,Caught fire and crashed.
1/4/02,7:25, Cairns, Australia,Air Taxi,Tel Aviv,Cristobal,Shrike Commander 500S,4,4,0,-16.9204963,145.7719011,9.3530018,-79.9045593,32.0804808,34.7805274,Crashed into a trees and fell into a river 50 km south of Sandoway after experiencing engine trouble while attempting to land at Sandoway in poor visibility and monsoon conditions.
12/9/01,16:25, Chichen Itza, Mexico,Aero Ferinco Charter,Louisville,Florencia,LET 410UVP,19,19,0,20.68285195,-88.56871954,43.7698712,11.2555757,38.2542376,-85.759407,
3/29/01,19:01, Aspen, Colorado,Jetwingsco Inc. - Private Charter,Saigon,Dubai,Grummand Gulfstream III,18,18,0,39.1911128,-106.8235606,25.2683521,55.2961962,10.7758439,106.7017555,
2/7/00,10:50, Cagayancillo, Philippines,Military - Philippine Air Force,Condoto,Aberdeen,GAF Nomad N-22C,15,14,0,9.68441895,121.191261,57.1452452,-2.0913745,5.09567995,-76.51148362,After circling in fog for half an hour  the plane rose to about 300 ft. and nose dived into the ground and burst into flames. Engine failure.
1/30/00,21:08, Abidjan, Ivory Coast,Kenya Airways,Training,Ankara,AirbusA310-304,179,169,0,5.4091179,-4.0422099,39.9220794,32.853758,37.74919975,-122.399688,Shot down by British aircraft.
1/25/00,18:09, Ankara, Turkey,Top Air - Air Taxi,San Pedro,Bermuda,Beechcraft King Air C90,4,4,0,39.9220794,32.853758,32.3018217,-64.7603583,33.7358518,-118.2922934,
12/2/99,10:30, Bishop, California,Ameriflight,Melbourne,Maiquetia,Beechcraft C99,1,1,0,37.3650412,-118.3946477,10.5941608,-66.9554841,-37.8142176,144.9631608,Crashed in heavy rain and fog while attempting to land.
9/12/99,15:12, Branson, Missouri,College of the Ozarks,Luena,Charleston,Cessna 525 Citation,6,6,0,36.6440399,-93.217133,38.3498221,-81.6326301,43.11175845,-3.907038284,Crashed into power lines 150 feet above the ground in fog.
7/20/99,11:00, Bluefields, Nicaragua,La Costena,Chicago,Caracas,Cessna 208B Grand Caravan,16,16,0,12.0130526,-83.7649647,10.506098,-66.9146017,41.8755546,-87.6244212,The plane was over the English Channel when an engine failed. The pilot tried to return to the airport but the plane ditched into the English Channel. The plane was named 'City of Ottawa.'
7/4/99,0:33, Ceyhan, Turkey,Turkish Airlines (THY),Basilan,Santa Katarina,Boeing 737-4Q8,6,6,0,37.0283058,35.8171007,-27.0628367,-51.114965,6.578645,122.034922,Crashed while landing in fog.
12/14/98,, Cuito, Angola,Khors Aircompany,Norfolk,Belgrade,Antonov AN-12BP,11,11,0,-12.422355,15.7581213,44.8178787,20.4568089,36.9306505,-76.25731107,Caught fire as the airliner struck the side of a hill.
5/3/98,5:20, Clarksville, Tennesee,Baron Aviation,Bridgetown,Lyon,Cessna 208B Caravan I Super Cargomaster,1,1,0,38.2967791,-85.7602087,45.7575286,4.8324803,13.1018264,-59.618848,Crashed on its delivery flight from England to Brisbane after in-flight loss of control  probably due to the type's design deficiencies.
4/20/98,16:47, Bogota, Colombia,Air France,Rome,Leopoldville,Boeing B-727-230,53,53,0,4.5980478,-74.0760867,-4.3217055,15.3125974,41.8933439,12.4830718,The mail plane crashed into a hillside in the desert while attempting to make an emergency landing during a storm.
3/2/98,15:15, Cavalese, Italy,Military - U.S. Marine Corps,San Vicente del Caguan,Paris,Grummand EA-6B,2,0,20,46.2912,11.4604332,48.8565056,2.3521334,2.1133577,-74.7719119,The aircraft crashed into tops of two houses and smashed into a third  bursting into flames in heavy rain.  An unusual and unforeseen condition of the weather developed its intensity in the immediate locality of the accident.  The ceiling suddenly dropped as the plane approached its destination.
8/11/97,8:08, Barrow, Alaska,Hageland Aviation Services,Delhi,Brasilia,Cessna 208B Caravan I,8,8,0,33.9848611,-83.6996482,-10.3333333,-53.2,28.6572914,77.2272603,The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastilimits. The pilot then lost control of the aircraft and it fell  tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately.
8/18/96,19:50, Alliford Bay, Canada2,Harbour Air,Antilla,Ardmore,de Havilland Canada DHC-3 Turbo Otter,3,3,0,53.2092942,-131.9857948,40.004128,-75.28830051,-13.6456069,-72.5728182,
8/14/96,, Bronson Creek, Canada,Air North,Salt Lake City,Tampico,Douglas DC-4,3,1,0,45.5323964,-122.8672561,22.2170473,-97.8463662,40.7670126,-111.8904308,
7/17/96,20:31, East Moriches, New York,Trans World Airlines,Rota,Farah,Boeing B-747-131,230,230,0,40.8050989,-72.7609336,32.607111,62.671011,14.1549037,145.2047723,
6/2/96,20:20, Ensenada, Mexico,AÃ‡Â¸rotaxi Cachanilla,Kandahar,Moscow,Cessna 500 Citation,8,8,0,31.860742,-116.6248246,55.7516335,37.6187042,31.6257334,65.7145053,Crashed en route
1/29/96,16:26, Blenheim, New Zealand,Soundsair,Chichen Itza,Pointe a Pitre,Cessna 208 Caravan I,6,5,0,-41.5154337,173.9602367,16.2408636,-61.5334077,20.68285195,-88.56871954,
12/9/95,7:20, Colombo, Sri Lanka,Military - Sri Lanka Air Force,Split,Vung Tau,Antonov AN-32,81,81,0,6.934287,79.8532704,10.3486485,107.0765028,43.5115555,16.4396801,Crashed at Rattlesnake Butte after the plane lost engine power. James Montijo  40  the man who taught Amelia Earhart to fly  killed.
10/1/95,, Flores Island, Inodnesia,Merpati Nusantara Airlines,Kabul,Mirny,de Havilland Canada DHC-6 Twin Otter 300,14,14,0,49.32297555,-126.1560587,-66.5528889,93.0096667,34.5197058,69.1624302,Crashed on a second test flight.
8/21/95,12:53, Carrollton, GA,AtlantiSoutheast Airlines,Gwalior,St. Petersburg,Embraer 120-RT Brasilia,29,10,0,33.5801103,-85.0766113,27.7703796,-82.6695085,26.2,78.2,
6/17/95,, Cuvela, Angola,Military - Angolan Air Force,Wadi Halfa,Chitose,CASA 212-200 Aviocar,48,48,0,45.8194258,15.7952735,42.799038,141.509517,21.8004996,31.3507374,The mail plane crashed into mountains 50 miles from Toulouse in fog.
3/12/95,22:44, Douala, Cameroon,Cameroon Airlines,Irkutsk,Kabul,Boeing B-737-2K9,78,72,0,4.05372875,9.664306826,34.5197058,69.1624302,52.2895979,104.2805843,The flying boat plunged into the ocean 20 miles off of Cristobal. The plane probably struck the water at high speed and was destroyed by an immediate explosion and fire.
1/9/95,12:00, Farewell, Alaska,North Star Air Cargo,Chania,Medford,Shorts SC-7 Skyvan,1,1,0,36.5011734,-91.3615249,42.3264181,-122.8718605,35.5141834,24.0181459,
11/25/94,, Cuito, Angola,Military - Angolan Air Force,Guam,Cairo,Mil Mi-17 (helicopter),22,22,0,-12.422355,15.7581213,30.0488185,31.2436663,13.4459805,144.7391922,The mail plane explosion in mid-air before crashing to the ground in a snowstorm.
10/26/94,, Cuito, Angola,Military - Angolan Air Force,Caracas,Johannesburg,Mil Mi-8MTV (helicopter),22,22,0,-12.422355,15.7581213,-26.205,28.0497222,10.506098,-66.9146017,The aircraft ran out of fuel and crashed off Alexandria. The plane was named 'The City of Khartoum.'
9/13/94,12:05, Abuja, Nigeria,Aerocontroctors - Charter,Aden,Moscow,de Havilland Canada DHC-6 Twin Otter 300,5,3,0,9.0643305,7.4892974,55.7516335,37.6187042,12.8331607,44.9166065,Shot down by French anti-aircraft fire.
8/9/94,19:03, Aliquippa, Pennsylvania,USAir,Maintirano,Foggia,Boeing B-737-3B7,132,132,0,40.6102386,-80.267726,41.4626384,15.5460328,-18.0603619,44.0259057,Crashed while making an approach to Le Bourget Airport in Paris.
7/17/94,21:45, Fort de France, Martinique,Air Martinique,Islamabad,Fort de France,Britten-Norman BN-2B-26 Islander,6,6,0,14.6037193,-61.0767677,14.6037193,-61.0767677,33.6945756,73.0643744,During takeoff the aircraft hit a palm tree and burst into flames due to engine failure.
5/8/94,8:50, Boda, Russia,Military - Russian Air Force,Caracas,New York City,Antonov AN-12,47,47,0,5.13993095,-8.340269531,40.7305991,-73.9865812,10.506098,-66.9146017,
3/23/94,, Bogota, Colombia,Orion - Air Taxi,Llandow,Oran,Cessna 650 Citation VI,4,4,0,4.5980478,-74.0760867,35.7032751,-0.6492976,51.449005,-3.5222606,The mail plane crashed into Mt. Lamentation and burst into flames.
3/23/94,14:30, Fayetteville, North Carolina,Military - U.S. Air Force / Military U.S. Air Force,Sightseeing,Phuket,GD F-16D / Lockheed C-130E,7,0,23,36.111508,-94.20986672,7.715984,98.32212637,43.3513484,19.9729208,While taking off from Billings  the airplane left the ground in a stalled condition from which the pilot attempted to recover by use of full emergency power. Emergency power was not available because of improper adjustment of the stop which had been placed on the quadrant of the propeller pitch control levers  preventing the levers from going to the full low pitch position. As a result of the stalled condition  the airplane fell off on the right wing and crashed at a point 1 100 feet beyond the NE runway  the pilot having cut the switch just prior to the impact.
2/6/94,18:00, Campbeltown, Scotland,Military - Royal Air Force,Guayaquil,Lima,Boeing Vertol Chinook HC-2 (helicopter),29,29,0,55.4282582,-5.6029617,-12,-76.833333,-2.2124357,-79.895812,Crashed in fog while attempting to land.
1/11/94,, Cozumel, Mexico,Transportes Aereos Pegaso,Amsterdam,Guantanamo,Bell 212,14,14,0,20.4488829,-86.9121241,20.1449533,-75.2072519,52.374436,4.897995603,Crashed into a mountain near St. Bernard Pass in Switzerland. Mountains obscured by clouds.
9/12/93,, Dakar, Senegal,Air Senegal / Gambia Airways,Pleiku,Kannung,DHC-6 Twin Otter 300 / NAMC YS-11,3,3,0,14.6930042,-17.447026,-32.8004427,151.4828797,13.9862612,108.0027018,
8/26/93,, Aldan, Russia,Sakha Airlines,Kazan,Managua,Let 410UVP-E,24,24,0,39.9215014,-75.2879632,12.1461244,-86.273717,40.2049092,32.6827398,Crashed into a tree on take off in fog.
4/27/93,23:00,  Libreville, Gambia,Military - Zambian Air Force,Rockhampton,MacKay,de Havilland  Canada  DHC-5D Buffalo,30,30,0,0.3900022,9.4540009,-21.141956,149.1865149,-23.3782501,150.5134442,Crashed into trees while attempting to land after being shot down by British and French aircraft.
11/11/92,, Bombay, India,Military - Indian Air Force,Training,Cazombo,Mil Mi-8 (helicopter),20,20,0,18.9523804,72.8327112,-11.8921052,22.9001014,37.74919975,-122.399688,
9/28/92,14:30,  Kathmandu, Nepal,Pakistan International Airlines,Karachi,Kathmandu,Airbus A300B4-203,167,167,0,27.7076762,85.3148882,27.7076762,85.3148882,24.8667795,67.0311286,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
9/18/92,, Curacao, Netherlands Antilles,Aero Ejecutivos,Guildford,Melbourne,Douglas C-118A,3,3,0,12.1845,-68.96409176,-37.8142176,144.9631608,51.237195,-0.5811779,Crashed in the Tapacari swamps  23 miles from Chochabanba.
8/10/92,, Dingxi, China,Wuhan Airlines,Kano,Isparta,Avia 14M-40,35,14,0,35.5815951,104.6199648,37.77035,30.5556933,11.9918671,8.5303654,Crashed into trees in poor weather while attempting to land at Newark. Error on the part of the pilot for attempting to get down under the overcast without first definitely proving his position.  Improper dispatching for clearing the flight into an area of predicted bad weather  particularly when the area cleared through did not permit a safe return  and staticonditions encountered which rendered reception of the radio range signals over the airplane's range receivers unintelligible.
4/4/92,, Baykovo, Russia,Kamchatavia,Bremerton,Wrangell,Let 410UVP,12,1,0,43.46039,26.83786,56.4156225,-132.3009452,47.5223995,-122.6881064,
11/26/91,5:02, Bugulma, Russia,Tartarstan Airlines,Memphis,East Berlin,Antonov AN-24,41,41,0,54.5384152,52.7955953,52.5141994,13.4880687,35.1490215,-90.0516285,The mail plane crashed into Las Tunas Canyon while attempting to land at  Burbank Airport in dense fog.
11/9/91,10:03, Eagle Lake, Texas,Continental Express,Kamina,Moscow,Embraer 120RT Brasilia,14,14,0,29.5896836,-96.3335769,55.7516335,37.6187042,-8.7364475,24.9952371,The plane struck a power pole while taking off from Daytona and crashed to the ground 600 feet from the first point of impact. The absence of reasonable notice to those operating and navigating the aircraft that an object had been erected which constituted a hazard to the aircraft taking off.
11/1/91,, Belo Horizonte, Brazil,Belair - Air Taxi,Nizhnevartovsk,Hicks Island,Learjet 25C,5,5,0,-19.9227318,-43.9450948,28.7810979,-82.2723134,60.9340439,76.58037,The mail plane crashed in a heavy snow storm
10/30/91,14:30, Ellesmere Island, NWT,Military - Royal Canadian Air Force,Kamina,Athens,Lockheed CC-130E,18,5,0,40.5489742,-76.8119151,33.9595974,-83.376678,-8.7364475,24.9952371,Icing on the wing caused the plane to crash close to the plane's destination.
5/26/91,23:17, Ban Nong Rong, Thailand,Lauda Air,Lagos,Bishop,Boeing B-767-3Z9ER,223,223,0,34.6893177,135.486284,37.3650412,-118.3946477,20.0171109,103.378253,A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree  killing the flight engineer.
3/25/91,8:15, Bangalore, India,Military - Indian Air Force,Wellington,Barranquilla,Hindustan Aeronautics 748-2,28,28,0,12.9791703,77.5912429,10.979932,-74.7957384,-41.2887639,174.7772239,
3/3/91,9:44, Colorado Springs, Colorado,United Air Lines,Addis Ababa,Baton Rouge,Boeing B-737-291,25,25,0,38.8339578,-104.8253485,30.4507462,-91.154551,9,38.75,The mail plane crashed and burned soon after taking off in a blinding snowstorm.
12/21/90,12:20, False Pass, Alaska,MarkAir Commuter,Jeddah,Isiro,Cessna 208 Caravan I,1,1,0,54.8525566,-163.4147747,2.7742702,27.6208169,21.5822247,39.1640396,The plane crashed into the ocean while en route between Guam and Manilla. The last known position was 12.27 N  130.40 W or 582 nm east southeast of Manila at 04:00 GCT. Cause unknown. The plane may have been hijacked by the Japanese and flown to Truk Island where the crew and passengers were murdered. The aircraft was named 'Hawaii Clipper.'
11/19/90,, Ashkhabad, Turkmenistan,Aeroflot,Adana,Wien,Mil Mi-8T,15,15,0,37.9396678,58.3874263,48.2083537,16.3725042,37.0033484,35.3263252,
10/19/90,15:25, Bella Vista, Bolivia,BAFIN,Douala,Malta,Douglas C-47B-40-DK,4,4,0,-46.4090626,-67.68285517,27.5015719,85.2451666,4.05372875,9.664306826,
6/6/90,5:29, Altamira, Brazil,TABA,Santa Cruz,Aspen,Fairchild FH-227B,42,23,0,43.3768445,-4.1197476,39.1911128,-106.8235606,36.9746099,-122.0294259,
6/28/89,9:30, Borana, Somalia,Somali Airlines,Cebu,Kunming,Fokker F-27 Friendship 600RF,30,30,0,27.6449988,72.1260621,25.0515153,102.7017638,10.45,123.84,Crashed on approach onto a golf course.
5/5/89,, Cancun, Mexico,Aero Cozumel,Curitiba,Dalian,Britten Norman BN-2A Trislander II,19,6,0,21.1708906,-86.8403165,38.920716,121.6388678,-25.4295985,-49.2713192,Mail plane crashed.
1/31/89,12:10, Abilene, Texas,Military - U.S. Air Force,Damascus,Al Kari,Boeing KC-135A,19,19,0,32.4464534,-99.7333478,48.2764997,-3.5711477,33.5130695,36.3095814,Shot down by British aircraft.
8/3/88,21:45, Clarksville, Tennessee,Military - U.S. Army,Rio de Janeiro,Goose Bay,Sikorsky UH-60A / Sikorsky UH-60A,17,17,0,38.2967791,-85.7602087,44.36672,-75.8463441,-22.9110137,-43.2093727,
6/5/88,, Broennoysund, Norway,Wideroe's Flyveselksap,Otis AFB,Karachi,de Havilland Canada DHC-7-102,36,36,0,65.4737042,12.2111915,24.8667795,67.0311286,41.65839515,-70.51227144,
4/10/88,23:00, Batagay, Russia,Aeroflot,Washington,Kinshasa,Antonov 12BP,6,6,0,67.6549095,134.6350713,-4.3217055,15.3125974,38.8949549,-77.0366456,
3/17/88,13:17, Cucuta, Colombia,AVIANCA,Hong Kong,New Plymouth,Boeing B-727-21,143,143,0,7.8971458,-72.5080387,-39.0579941,174.0806474,22.2793278,114.1628131,
3/7/88,10:55,  Bandar Abbas, Iran,Iran Air,Bandar Abbas,Dubai,Airbus A300B2-203,290,290,0,27.1781213,56.2766447,25.2683521,55.2961962,27.1781213,56.2766447,During a demonstration flight  a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet  killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight  tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs  pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.
2/27/88,10:25, Ercan, Cyprus,Talia Airways,Tehran,Juba,Boeing B-727-2H9A,15,15,0,52.1039199,9.3685531,4.8472017,31.5951655,35.6860984,51.4223608,The mail plane crashed while taking off.
1/18/88,22:17, Chungking, China,China Southwest Airlines,Bima,Bole,Ilyushin IL-18D,108,108,0,22.29636555,114.1728539,44.9042025,82.0698186,-8.4535168,118.7276222,
6/3/87,19:10, Almaty, Kazakhstan,Aeroflot,Monterey,Montevideo,Antonov An-26,9,9,0,43.2362314,76.9457599,-34.9059039,-56.1913569,36.583431,-121.8540929,
1/13/87,13:30, Asmara, Ethiopia,Military - Ethiopian Air Force,Bucharest,Bombay,Antonov AN-12,54,54,0,15.3389974,38.9326725,18.9523804,72.8327112,44.436139,26.1027436,
10/6/86,, Cairo, Egypt,EgyptAir,Buckley ANGB,Cartagena,Fokker F-27 Friendship 500,26,23,0,30.0488185,31.2436663,10.4236044,-75.524172,39.7078055,-104.758286,
2/4/86,, Athens, Greece,Trans World Airlines,Paris,San Carlos de Bariloche,Boeing B-727,121,4,0,33.9595974,-83.376678,-41.1334672,-71.3099936,48.8565056,2.3521334,Crashed in poor weather.
2/3/86,3:03, Bugulma, Russia,Aeroflot,Training,Copenhagen,Antonov AN-24B,38,38,0,54.5384152,52.7955953,55.6867243,12.5700724,37.74919975,-122.399688,Fuselage failure. Four were seriously injured and both the pilot and radio operator were killed.
3/28/85,9:50, Florencia, Colombia,SATENA,Hue,Moscow,Fokker F-28 Fellowship 3000,46,46,0,43.7698712,11.2555757,55.7516335,37.6187042,47.1817585,19.5060937,Crashed into a cane field while attempting to land when the pilot swerved to avoid a tractor.
12/22/84,, Bhojpur, Nepal,Royal Nepal Airlines,Port Harcourt,Buffalo,de Havilland Canada DHC-6 Twin Otter 300,23,15,0,25.4578977,84.55573242,42.8864468,-78.8783689,4.7676576,7.0188527,Crashed in a thunderstorm after being struck by lightning. The plane was named 'The City of San Francisco.'
10/31/84,, Davao, Philippines,Village Airways,Huambo,Innsbruck,Douglas C-47B,4,4,0,6.610975,125.4298652,47.2654296,11.3927685,-12.7765392,15.7320468,All four motors of the aircraft quit while taking off. The pilot attempted to land but crashed into a house. First fatal aviation accident in Sweden.
3/31/84,8:30,  Bimini,,State Airlines,Ft. Lauderdale,Bimini,Cessna 402B,6,6,0,23.69106245,-79.9433551,23.69106245,-79.9433551,26.1223084,-80.1433786,First U.S. dirigible Akron exploded just offshore at an altitude of 1 000 ft. during a test flight.
11/28/83,, Enugu, Nigeria,Nigeria Airways,Tripoli,Nyala,Fokker F-28 Fellowship 2000,72,53,0,6.4499833,7.5000007,12.0505098,24.8795115,32.896672,13.1777923,Struck Stroh peak at 3 300 feet in Mint Canyon  27 minutes after taking off from Burbank Airport. The aircraft struck a ridge  bounded over a ravine and struck a second ridge  broke up and burst into flames.
11/7/83,7:40, Cuenca, Ecuador,TAME,Guadalajara,KÃ_Ãùln,Boeing B-737-2V2,119,119,0,40.0681156,-2.1348241,50.878866,7.119301,40.7399963,-2.505929926,
8/30/83,23:17, Alma-Ata, Kazakastan,Aeroflot,Rome,Arica,Tupolev TU-134A,90,90,0,43.2362314,76.9457599,-18.4784237,-70.3211626,41.8933439,12.4830718,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.
8/27/83,, Dundo, Angola,Transamerica Airlines,Donetsk,Cap Skiring,Lockheed L-100-30 Hercules,7,7,0,-7.3749148,20.8337256,12.39821835,-16.75089279,48.0158753,37.8013407,The aircraft crashed  into a potato field after possibly being struck by lightning and after an in-flight fire.
7/26/83,, Ambone, Indonesia,Bali International Air Service,Los Angeles,Karachi,Cessna 404 Titan,11,7,0,42.0162191,12.8739954,24.8667795,67.0311286,34.053717,-118.2427266,
9/5/82,, Aden, Yemen,Alyemda,Bauru,Tunis,de Havilland Canada DHC-7-103,49,47,0,12.8331607,44.9166065,33.8439408,9.400138,-22.3218102,-49.0705863,
